№п/п,Подразделение (центральное / областное),Наименование ГУ,Физический адрес,"Из списка 
 исходного СОИ","Статус строительства 
 ВОЛС","Статус 
 подключения",Готовность ПСД,КВЭП
Завершены работы,,,,,,,,
1,ДГД по Актюбинской области,ПУНКТ ПРОПУСКА «КАРАШАТАУ»,"Актюбинская область, Айтекебийский район, м/у п. Комсомол и п. Карашатау, 380 метров от ЛГГ",Нет (новый),Завершен,Наряд,готов,20.03.2026
2,ДГД по Алматинской области,ПУНКТ ПРОПУСКА «КЕГЕН» (АВТОМОБИЛЬНЫЙ),"Алматинская область, Райымбекский район, 12 км от н.п.Каркара, 20 м от ЛГГ",Да,Завершен,Наряд,готов,20.03.2026
3,ДГД по Атырауской области,ПУНКТ ПРОПУСКА «КУРМАНГАЗЫ»,Атырауская область. Н.п.Караозек,Нет (новый),Завершен,Наряд,готов,20.03.2026
4,ДГД по Жамбылской области,ПУНКТ ПРОПУСКА «АЙША БИБИ»,"Жамбылская область, Жамбылский район село Гродеково",Нет (новый),Завершен,Подключен,готов,20.03.2026
5,ДГД по ЗКО,ПУНКТ ПРОПУСКА «ЖАНИБЕК» (АВТОМОБИЛЬНЫЙ) ЗКО,"п. Жанибек, Жанибекского сельского округа, Жанибекского района, 10 метров от ЛГГ",Нет (новый),Завершен,Наряд,готов,20.03.2026
6,ДГД по ЗКО,ПУНКТ ПРОПУСКА «АКСАЙ» (АВТОМОБИЛЬНЫЙ) ЗКО,"Бурлинский район от 9 км от н.п.Жарсуат, 150 м от ЛГГ",Да,Завершен,Наряд,готов,20.03.2026
7,ДГД по Карагандинской области,Подразделение таможенного поста «Караганда-ЦТО»,"г. Караганда, ул. Сатпаева, 204, ТОО «СВХ Техносклад»",Нет (новый),Завершен,Подключен,готов,20.03.2026
8,ДГД по Костанайской области,ПУНКТ ПРОПУСКА «АКБАЛШИК»,"Костанайская область, 3 км от н.п. Белоглинка, Узынкольский р-н, 400 м от ЛГГ",Нет (новый),Завершен,Наряд,готов,20.03.2026
9,ДГД по Костанайской области,ПУНКТ ПРОПУСКА «АЯТ»,"Костанайская область, в 500 м. от н.п. Варваринка, Тарановского района, 4500 м от ЛГГ",Нет (новый),Завершен,Наряд,готов,20.03.2026
10,ДГД по Мангистауской области,Таможенный пост «Кара Шекпен»,"Мангистауская обл.,Тупкараганский район, п. Баутино, ул. Мунайши 2",Да,Завершен,Подключен,готов,20.03.2026
