Вес внутри ПИР,,
Вид работ,"Вес, %",Примечание
Получение исходно-разрешительных документов,"7,5","Акт выбора трассы, АПЗ, ТУ на подключение к сетям телекоммуникаций, постановление на проведение ПИР, ТУ на пересечение, и т.п."
Инженерные изыскания,15,Инженерно-геодезические и инженерно-геологические изыскания
Проектирование,"37,5","Разработка рабочих чертежей, сметной документации, экологической части проекта, проекта организации строительства"
Согласование проекта,10,"Согласование проекта с заинтересованными госорганами и организациями, экологической части проекта, историко-культурная экспертиза (археологическая экспертиза), согласование с заказчиком"
Землеустроительный проект,15,"Получение отвода земельных участков под ВОЛС, выполнение землеустроительного проекта, узаконение отведенных земельных участков и внесение их в базы госкадастра"
Экспертиза проекта,15,Комплексная вневедомственная экспертиза проекта
Итого,100,
,,
Исходно-разрешительные документы,,
Вид работ,"Вес, %",Примечание
Акт выбора трасс,5,"Низкий вес, т.к. эти документы должен предоставить Заказчик"
АПЗ,30,
Технические условия на подключение,5,"Низкий вес, т.к. эти документы должен предоставить Заказчик"
Постановление о разрешении на ПИР ,30,
Технические условия на пересечение,30,
Итого,100,
,,
Инженерные изыскания,,
Вид работ,"Вес, %",Примечание
Инженерно геологические изыскания,25,
Инженерно-геодезические изыскания,75,
Итого,100,
,,
Проектирование,,
Вид работ,"Вес, %",Примечание
Рабочие чертежи,75,
Сметная документация,15,
Проект организации строительства,"2,5",
Экологическая часть проекта,"7,5",
Итого,100,
,,
Согласования,,
Вид работ,"Вес, %",Примечание
Заключение историко-культурной экспертизы,15,
Письмо об отсутствии сибиреязвенных захоронений и скотомогильников,"2,5",
"Протокол дозиметрического контроля 
","2,5",
"Протокол измерений содержания радона и продуктов его распада в воздухе
","2,5",
Согласование трассы ВОЛС с соответствующей Бассейновой водохозяйственной инспекцией,5,
"Согласование с АО ""Авиационная администрация Казахстана""
","2,5",
"Согласование трассы ВОЛС с местным Лесхозом
","2,5",
Согласование с владельцами пересекаемых коммуникаций,15,
Согласование экологической части проекта,25,
Согласование проекта с Заказчиком,"27,5",
Итого,100,
,,
Землеустроительные работы,,
Вид работ,"Вес, %",Примечание
"Землеотвод под ВОЛС (постановление, гос акт. серветут, распоряжение)",25,
Изготовление землеустроительного проекта,75,
Итого,100,
