№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
18,113437200,6,ВОЛС (Wi-Fi public),Акмолинская область,Аршалынский район,Берсуатский с.о.,с.Байдала,"50.638993, 72.155846",,2027,26,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
1,113249300,,Спутник,Акмолинская область,Аккольский район,Новорыбинский с.о.,Курылыс,"51.908316, 71.459768",,2025,80,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
2,113253300,16,ВОЛС,Акмолинская область,Аккольский район,Енбекский с.о.,с.Рамадан,"51.920660, 71.136572",131,2025,94,,1,,,,,,,,,,,1,Подключено,временно спутник,1 Школа,1,0,15.03.2026,31.10.2026,,,
3,113251100,19,ВОЛС,Акмолинская область,Аккольский район,Жалгызкарагайский с.о.,с.Жалгызкарагай,"52.284387, 71.193894",372,2026,33,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
4,113241200,19,ВОЛС,Акмолинская область,Аккольский район,Карасайский с.о.,с.Карасай,"51.900731, 71.965529",162,2026,70,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
5,113241100,42,ВОЛС,Акмолинская область,Аккольский район,Карасайский с.о.,с.Кына,"52.064674, 72.011756",526,2026,164,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
6,113241300,16,ВОЛС,Акмолинская область,Аккольский район,Карасайский с.о.,с.Сазды булак,"52.109852, 72.211676",195,2026,49,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
7,113243400,4,ВОЛС,Акмолинская область,Аккольский район,Кенесский с.о.,с.Малый Барап,"52.080627, 71.005894",253,2026,71,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
8,113247200,5,ВОЛС,Акмолинская область,Аккольский район,Наумовский с.о.,с.Кемеркол,"52.075153, 70.498265",124,2025,40,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.03.2026,31.10.2026,,,
9,113247300,15,ВОЛС,Акмолинская область,Аккольский район,Наумовский с.о.,с.Орнек,"52.186567, 70.676931",269,2026,74,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
10,113249200,12,ВОЛС,Акмолинская область,Аккольский район,Новорыбинский с.о.,с.Кара-Озек,"51.975278, 71.466667",130,2026,37,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
11,113255500,,Спутник,Акмолинская область,Аккольский район,Урюпинский с.о.,с. Ерофеевка,51.872158 70.343863,,2026,76,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
12,113255200,4,ВОЛС,Акмолинская область,Аккольский район,Урюпинский с.о.,с.Аманкельды,"51.984985, 70.545310",215,2026,58,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
13,113255700,"2,1",ВОЛС,Акмолинская область,Аккольский район,Урюпинский с.о.,с.Малоалександровка,"51.981147, 70.266087",99,2026,33,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
14,113220400,2,ВОЛС,Акмолинская область,Аккольский район,,с. Радовка,"52.047200, 70.640693",,2025,67,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.03.2026,31.10.2026,,,
15,113447300,,Спутник,Акмолинская область,Аршалынский район,Турген,Родники,"50.862226, 72.327424",,2025,51,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
16,113431180,"36,22",ВОЛС,Акмолинская область,Аршалынский район,Акбулакский с.о.,с.Актасты,50.752222 72.211146,211,2026,87,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
17,113442200,"36,22",ВОЛС,Акмолинская область,Аршалынский район,Арнасайский с.о.,ст.Бабатай,50.973219 72.2111146,464,2026,58,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
28,113433300,"34,22",ВОЛС (Wi-Fi public),Акмолинская область,Аршалынский район,с.о. Жибек жолы,рзд. 41,"51.104444, 71.761667",,2025,89,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.03.2026,30.09.2026,,,
19,113451400,,Спутник,Акмолинская область,Аршалынский район,Булаксайский с.о.,с. Акжар,"51.306896, 72.165596",,2025,63,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
20,113451700,3,ВОЛС,Акмолинская область,Аршалынский район,Булаксайский с.о.,с. Костомар,"51.211005, 71.792181",580,2026,135,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
21,113451100,28,ВОЛС,Акмолинская область,Аршалынский район,Булаксайский с.о.,с.Булаксай,"51.287807, 72.093655",730,2026,218,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
22,113441500,10,ВОЛС,Акмолинская область,Аршалынский район,Волгодоновский с.о.,с.Койгельды,"51.089968, 71.953788",301,2026,100,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
23,113441600,"36,22",ВОЛС,Акмолинская область,Аршалынский район,Елтокский с.о.,рзд.42,"51.041165, 71.857991",189,2026,362,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
24,113445200,27,ВОЛС,Акмолинская область,Аршалынский район,Константиновский с.о.,с.Белоярка,"50.966677, 72.953334",261,2026,75,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
25,113445400,17,ВОЛС,Акмолинская область,Аршалынский район,Константиновский с.о.,с.Шортанды,"50.791248, 72.503368",236,2026,135,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
26,113449200,20,ВОЛС,Акмолинская область,Аршалынский район,Михайловский с.о.,с.Николаевка,"51.095484, 72.438986",263,2026,90,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
27,113449300,14,ВОЛС,Акмолинская область,Аршалынский район,Михайловский с.о.,с.Ольгинка,"51.077169, 72.607204",240,2026,85,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
109,114646100,19,ВОЛС (Wi-Fi public),Акмолинская область,Ерейментауский район,Койтасский с.о.,с.Койтас,"51.800926, 73.796358",88,2027,30,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
29,113433200,"6,4",ВОЛС,Акмолинская область,Аршалынский район,с.о. Жибек жолы,с.Жалтырколь,"50.998109, 71.847391",1518,2026,83,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
30,113447200,3,ВОЛС,Акмолинская область,Аршалынский район,с.о. Турген,с. Красное Озеро,"50.804758, 72.383263",,2025,119,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.03.2026,30.09.2026,,,
31,113453100,12,ВОЛС,Акмолинская область,Аршалынский район,Сарабинский с.о.,с.Сарыоба,"51.203207, 72.183154",740,2026,222,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
32,113453500,3,ВОЛС,Акмолинская область,Аршалынский район,Сарабинский с.о.,ст.Сарыоба,"51.263173, 72.119410",592,2026,198,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
33,113640700,,Спутник,Акмолинская область,Астраханский район,Жалтырский,Ягодное,"51.791585, 69.603696",,2025,62,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
34,113630300,13,ВОЛС,Акмолинская область,Астраханский район,Астраханский с.о.,с.Таволжанка,"51.578809, 69.612392",168,2026,64,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
35,113637200,16,ВОЛС,Акмолинская область,Астраханский район,Есильский с.о.,с.Шиликты,"51.519296, 69.659553",91,2026,67,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
36,113640500,17,ВОЛС,Акмолинская область,Астраханский район,Жалтырский с.о.,с.Жарсуат,"51.758729, 69.788479",184,2025,96,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.03.2026,30.09.2026,,,
37,113656200,,Спутник,Акмолинская область,Астраханский район,Колутонский с.о.,с.Бирлик,"51.636549, 69.477061",,2027,51,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
